name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,temp_discovery_date,temp_mass,planet_radius,orbital_radius,orbital_period,eccentricity
XO-5 b,908,1.19 Jupiters,12.13,2008
XO-6 b,773,4.4 Jupiters,10.25,2016,Kepler-1540,b,kepler-1540 b,Transit,0,1,125.4131177,0.0004189,-0.0004189,0,,,,,,,,,,,,,,,,,,0.222,0.017,-0.012,0,,,,,0,1,0,1,18h53m22.68s,283.344497,+41d12m06.3s,41.201741,262,12.12,-13.24,0,246.71,0.91,-0.91,0,14.073,,0,Kepler-band,14.083,,0,4540,69.37,-88.2,0,0.74,0.03,-0.04,0,0.69,0.03,-0.03,0,10-05-2016,Kepler
XO-7 b,764,0.709 Jupiters,10.52,2019
YZ Ceti b,12,0.75 Earths,12.074,2017,Kepler-1541,b,kepler-1541 b,Transit,0,1,8.40691199,0.00002698,-0.00002698,0,,,,,,,,,,,,,,,,,,0.103,0.009,-0.007,0,,,,,0,1,0,1,18h55m08.88s,283.787004,+48d01m46.4s,48.029564,414,30.62,-25.13,0,421.77,2.58,-2.58,0,13.801,,0,Kepler-band,13.791,,0,5282,75.06,-78.58,0,0.86,0.04,-0.04,0,0.81,0.06,-0.04,0,10-05-2016,Kepler
YZ Ceti c,12,0.98 Earths,12.074,2017
YZ Ceti d,12,1.14 Earths,12.074,2017,Kepler-1542,b,kepler-1542 b,Transit,0,4,3.95116882,0.00001633,-0.00001633,0,,,,,,,,,,,,,,,,,,0.068,0.01,-0.007,0,,,,,0,1,0,1,19h02m54.84s,285.728495,+42d39m16.3s,42.65453,336,45.17,-31.3,0,403.73,3.98,-3.98,0,12.639,,0,Kepler-band,12.588,,0,5564,63.25,-63.29,0,0.94,0.03,-0.03,0,0.99,0.13,-0.09,0,10-05-2016,Kepler
name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
11 Comae Berenices b,305,19.4 Jupiters,4.74,2007
11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009,11 Com,b,11 com b,Radial Velocity,0,1,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,0.231,0.005,-0.005,0,,,,,19.4,1.5,-1.5,0,Msini,,,,,,,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,1.92,-1.92,0,93.37,1.92,-1.92,0,4.74,,0,V (Johnson),4.372,,0,4742,100,-100,0,2.7,0.3,-0.3,0,19,2,-2,0,14-05-2014,Xinglong Station
14 Andromedae b,247,4.8 Jupiters,5.227,2008
14 Herculis b,59,4.66 Jupiters,6.61,2002,11 UMi,b,11 umi b,Radial Velocity,0,1,516.21997,3.2,-3.2,0,1.53,0.07,-0.07,0,0.08,0.03,-0.03,0,,,,,14.74,2.5,-2.5,0,Msini,,,,,,,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,1.97,-1.97,0,125.72,1.97,-1.97,0,5.016,0.009,0,V (Johnson),4.5,,0,4213,46,-46,0,2.78,0.69,-0.69,0,29.79,2.84,-2.84,0,06-09-2018,Thueringer Landessternwarte Tautenburg
16 Cygni B b,69,1.78 Jupiters,6.25,1996
18 Delphini b,249,10.3 Jupiters,5.506,2008,14 And,b,14 and b,Radial Velocity,0,1,185.84,0.23,-0.23,0,0.83,,,0,0,,,0,,,,,4.8,,,0,Msini,,,,,,,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,0.71,-0.71,0,75.59,0.71,-0.71,0,5.227,0.009,0,V (Johnson),4.872,,0,4813,20,-20,0,2.2,0.1,-0.2,0,11,1,-1,0,14-05-2014,Okayama Astrophysical Observatory
1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008
24 Bootis b,314,0.91 Jupiters,5.58,2018,14 Her,b,14 her b,Radial Velocity,0,1,1773.40002,2.5,-2.5,0,2.93,0.08,-0.08,0,0.37,0,0,0,,,,,4.66,0.15,-0.15,0,Msini,,,,,,,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,0.01,-0.01,0,17.94,0.01,-0.01,0,6.61,0.02,0,V (Johnson),6.379,,0,5338,25,-25,0,0.9,0.04,-0.04,0,0.93,0.01,-0.01,0,06-09-2018,W. M. Keck Observatory
24 Sextantis b,236,1.99 Jupiters,6.441,2010
24 Sextantis c,236,0.86 Jupiters,6.441,2010,16 Cyg B,b,16 cyg b b,Radial Velocity,0,1,798.5,1,-1,0,1.66,0.03,-0.03,0,0.68,0.02,-0.02,0,,,,,1.78,0.08,-0.08,0,Msini,,,,,,,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,0.01,-0.01,0,21.15,0.01,-0.01,0,6.25,,0,V (Johnson),6.057,,0,5750,8,-8,0,1.08,0.04,-0.04,0,1.13,0.01,-0.01,0,06-09-2018,Multiple Observatories
2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013
2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013,18 Del,b,18 del b,Radial Velocity,0,1,993.3,3.2,-3.2,0,2.6,,,0,0.08,0.01,-0.01,0,,,,,10.3,,,0,Msini,,,,,,,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,0.62,-0.62,0,76.38,0.62,-0.62,0,5.506,0.009,0,V (Johnson),5.244,,0,4979,18,-18,0,2.3,,,0,8.5,,,0,14-05-2014,Okayama Astrophysical Observatory
2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015
2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010,1RXS J160929.1-210524,b,1rxs j160929.1-210524 b,Imaging,0,1,,,,,330,,,0,,,,,,,,,8,1,-1,0,Mass,,,,,,,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,14,-14,0,139.67,1.32,-1.32,0,,,,,12.057,,0,4060,300,-200,0,0.85,0.2,-0.1,0,,,,,01-04-2015,Gemini Observatory
2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004
2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015,24 Boo,b,24 boo b,Radial Velocity,0,1,30.3506,0.0078,-0.0077,0,0.19,0.012,-0.009,0,0.042,0.048,-0.029,0,,,,,0.91,0.13,-0.1,0,Msini,,,,,,,,,0,0,0,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,0.64,-0.64,0,96.25,0.64,-0.64,0,5.58,,0,V (Johnson),5.305,,0,4893,15,-15,0,0.99,0.19,-0.13,0,10.64,0.84,-0.59,0,26-04-2018,Okayama Astrophysical Observatory
2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009
2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016,24 Sex,b,24 sex b,Radial Velocity,0,2,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,0.09,0.14,-0.06,0,,,,,1.99,0.26,-0.38,0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,72.21,0.68,-0.68,0,6.441,0.01,0,V (Johnson),6.198,,0,5098,44,-44,0,1.54,0.08,-0.08,0,4.9,0.08,-0.08,0,14-05-2014,Lick Observatory
30 Arietis B b,146,13.82 Jupiters,6.962,2009
42 Draconis b,296,3.88 Jupiters,4.82,2008,24 Sex,c,24 sex c,Radial Velocity,0,2,883,32.4,-13.8,0,2.08,0.05,-0.02,0,0.29,0.16,-0.09,0,,,,,0.86,0.35,-0.22,0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,72.21,0.68,-0.68,0,6.441,0.01,0,V (Johnson),6.198,,0,5098,44,-44,0,1.54,0.08,-0.08,0,4.9,0.08,-0.08,0,14-05-2014,Lick Observatory
47 Ursae Majoris b,45,2.53 Jupiters,5.05,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.05,2001,2MASS J01033563-5515561 A,b,2mass j01033563-5515561 ab b,Imaging,0,1,,,,0,84,,,0,,,,0,,,,0,13,1,-1,0,Mass,,,,0,,,,0,0,0,0,0,01h03m35.63s,15.898458,-55d15m56.1s,-55.265583,47.2,3.1,-3.1,0,,,,,,,,,,,,,,,0,0.19,0.02,-0.02,0,,,,0,03-09-2020,Paranal Observatory
47 Ursae Majoris d,45,1.64 Jupiters,5.05,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.61,2006,2MASS J01225093-2439505,b,2mass j01225093-2439505 b,Imaging,0,1,,,,,52,6,-6,0,,,,,,,,,24.5,2.5,-2.5,0,Mass,,,,,,,,,0,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36,4,-4,0,33.86,0.09,-0.09,0,14.24,0.07,0,V (Johnson),12.903,,0,3530,50,-50,0,0.4,0.05,-0.05,0,,,,,14-05-2014,W. M. Keck Observatory
51 Eridani b,96,2 Jupiters,5.23,2015
51 Pegasi b,50,0.46 Jupiters,5.5,1995,2MASS J02192210-3925225,b,2mass j02192210-3925225 b,Imaging,0,1,,,,,156,10,-10,0,,,,,,,,,13.9,1.1,-1.1,0,Mass,1.44,0.03,-0.03,0,,,,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.4,2.6,-2.6,0,40.09,0.19,-0.19,0,,,,,15.012,,0,3064,76,-76,0,0.11,0.01,-0.01,0,0.28,0.01,-0.01,0,14-05-2015,Cerro Tololo Inter-American Observatory
55 Cancri b,41,0.8306 Jupiters,5.96,1996
55 Cancri c,41,0.1714 Jupiters,5.96,2004,2MASS J04414489+2301513,b,2mass j04414489+2301513 b,Imaging,0,1,,,,,15,,,0,,,,,,,,,7.5,2.5,-2.5,0,Mass,,,,,,,,,0,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140,,,0,120.42,5.48,-5.48,0,,,,,18.967,,0,,,,,0.02,,,0,,,,,14-05-2014,Hubble Space Telescope
55 Cancri d,41,3.878 Jupiters,5.96,2002
55 Cancri e,41,8.08 Earths,5.96,2004,2MASS J12073346-3932539,b,2mass j12073346-3932539 b,Imaging,0,1,,,,,46,5,-5,0,,,,,,,,,4,1,-1,0,Mass,,,,,,,,,0,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,64.42,0.65,-0.65,0,64.42,0.65,-0.65,0,20.15,0.19,0,V (Johnson),17.408,,0,,,,,0.02,,,0,,,,,14-05-2014,Paranal Observatory
55 Cancri f,41,0.141 Jupiters,5.96,2007
61 Virginis b,28,5.1 Earths,4.74,2009,2MASS J19383260+4603591,b,2mass j19383260+4603591 b,Eclipse Timing Variations,0,1,416,2,-2,0,0.92,0.02,-0.02,0,,,,,,,,,1.9,0.1,-0.1,0,Mass,,,,,,,,,0,1,0,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,400.77,6.48,-6.48,0,400.77,6.48,-6.48,0,12.264,,0,Kepler-band,12.138,,0,,,,,0.48,0.03,-0.03,0,,,,,04-06-2015,Kepler
61 Virginis c,28,18.2 Earths,4.74,2009
61 Virginis d,28,22.9 Earths,4.74,2009,2MASS J21402931+1625183 A,b,2mass j21402931+1625183 a b,Imaging,0,1,7336.5,1934.5,-584,0,,,,,0.26,0.06,-0.06,0,46.2,2.5,-8.7,0,20.95,83.79,-20.95,0,Mass,0.92,0.39,-0.36,0,,,,,0,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25,10,-10,0,33.12,0.48,-0.48,0,,,,,17.396,,0,2300,80,-80,0,0.08,0.06,-0.06,0,0.12,0.05,-0.04,0,14-05-2014,W. M. Keck Observatory
6 Lyncis b,179,2.01 Jupiters,5.86,2008
70 Virginis b,58,7.49 Jupiters,4.97,1996,2MASS J22362452+4751425,b,2mass j22362452+4751425 b,Imaging,0,1,,,,,230,20,-20,0,,,,,,,,,12.5,1.5,-1.5,0,Mass,,,,,,,,,0,0,0,1,22h36m24.53s,339.102203,+47d51m42.6s,47.86182,74,10,-10,0,69.71,0.16,-0.16,0,12.51,0.03,0,V (Johnson),11.948,,0,4045,35,-35,0,0.6,0.05,-0.05,0,,,,,10-11-2016,W. M. Keck Observatory
75 Ceti b,271,3 Jupiters,5.35,2012
7 Canis Majoris b,65,1.85 Jupiters,3.92,2011,30 Ari B,b,30 ari b b,Radial Velocity,0,1,335.10001,2.5,-2.5,0,0.99,0.02,-0.02,0,0.29,0.09,-0.09,0,,,,,13.82,1.8,-1.8,0,Msini,,,,,,,,,0,0,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,0.1,-0.1,0,44.71,0.1,-0.1,0,6.962,0.011,0,V (Johnson),6.961,,0,6331,61,-61,0,1.93,0.27,-0.27,0,1.41,0.05,-0.05,0,06-09-2018,Thueringer Landessternwarte Tautenburg
7 Canis Majoris c,65,0.87 Jupiters,3.92,2019
81 Ceti b,331,5.3 Jupiters,5.65,2008,4 UMa,b,4 uma b,Radial Velocity,0,1,269.3,1.96,-1.96,0,0.87,0.04,-0.04,0,0.432,0.024,-0.024,0,,,,,7.1,1.6,-1.6,0,Msini,,,,,,,,,0,0,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,1.18,-1.18,0,73.58,1.18,-1.18,0,4.61,,0,V (Johnson),4.16,,0,4415,70,-70,0,1.23,0.15,-0.15,0,18.11,1.47,-1.47,0,14-05-2014,Thueringer Landessternwarte Tautenburg
8 Ursae Minoris b,533,1.31 Jupiters,6.83,2015
91 Aquarii b,144,3.2 Jupiters,4.25,2013,42 Dra,b,42 dra b,Radial Velocity,0,1,479.1,6.2,-6.2,0,1.19,0.01,-0.01,0,0.38,0.06,-0.06,0,,,,,3.88,0.85,-0.85,0,Msini,,,,,,,,,0,0,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,1.32,-1.32,0,90.86,1.32,-1.32,0,4.82,,0,V (Johnson),4.364,,0,4200,70,-70,0,0.98,0.05,-0.05,0,22.03,1,-1,0,14-05-2014,Thueringer Landessternwarte Tautenburg
AB Pictoris b,163,13.5 Jupiters,9.128,2005
Alpha Arietis b,66,1.8 Jupiters,2,2010,47 UMa,b,47 uma b,Radial Velocity,0,3,1078,2,-2,0,2.1,0.02,-0.02,0,0.032,0.014,-0.014,0,,,,,2.53,0.07,-0.06,0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0,13.8,0.03,-0.03,0,5.05,,0,V (Johnson),4.831,,0,5892,70,-70,0,1.03,0.05,-0.05,0,1.23,,,0,14-05-2014,Lick Observatory
Alpha Tauri b,67,6.47 Jupiters,0.85,2015
AU Microscopii b,32,0.18 Jupiters,8.81,2020,47 UMa,c,47 uma c,Radial Velocity,0,3,2391,100,-87,0,3.6,0.1,-0.1,0,0.098,0.047,-0.096,0,,,,,0.54,0.066,-0.073,0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0,13.8,0.03,-0.03,0,5.05,,0,V (Johnson),4.831,,0,5892,70,-70,0,1.03,0.05,-0.05,0,1.23,,,0,14-05-2014,Lick Observatory
BD+03 2562 b,8540,6.4 Jupiters,9.58,2017
BD-06 1339 b,66,8.5 Earths,9.7,2013,47 UMa,d,47 uma d,Radial Velocity,0,3,14002,4018,-5095,0,11.6,2.1,-2.9,0,0.16,0.09,-0.16,0,,,,,1.64,0.29,-0.48,0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0,13.8,0.03,-0.03,0,5.05,,0,V (Johnson),4.831,,0,5892,70,-70,0,1.03,0.05,-0.05,0,1.23,,,0,14-05-2014,Lick Observatory
BD-06 1339 c,66,0.17 Jupiters,9.7,2013
BD-08 2823 b,135,12.7132 Earths,9.88,2009,51 Eri,b,51 eri b,Imaging,0,1,11688,6209.25,-3287.25,0,12,4,-2,0,0.45,0.1,-0.15,0,133,14,-7,0,,,,,,,,,,,,,,0,0,0,1,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.4,0.3,-0.3,0,29.78,0.12,-0.12,0,5.23,,0,V (Johnson),5.122,,0,,,,,1.75,0.05,-0.05,0,,,,,11-07-2019,Gemini Observatory
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000,51 Peg,b,51 peg b,Radial Velocity,0,1,4.230785,0.000036,-0.000036,0,0.0527,0.003,-0.003,0,0.013,0.012,-0.012,0,,,,,0.472,0.039,-0.039,0,Msini,,,,,,,,,0,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,0.03,-0.03,0,15.47,0.03,-0.03,0,5.5,,0,V (Johnson),5.256,,0,5793,70,-70,0,1.12,0.06,-0.06,0,1.2,,,0,14-05-2014,Haute-Provence Observatory
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020,55 Cnc,b,55 cnc b,Radial Velocity,0,5,14.65152,0.00015,-0.00015,0,0.115227,0.000001,-0.000001,0,0.0034,0.0032,-0.0032,0,90,,,0,0.8306,0.0033,-0.0033,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,29-10-2014,Lick Observatory
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009,55 Cnc,c,55 cnc c,Radial Velocity,0,5,44.4175,0.0073,-0.0073,0,0.241376,0.000026,-0.000026,0,0.02,0.031,-0.031,0,90,,,0,0.1714,0.0055,-0.0055,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,29-10-2014,McDonald Observatory
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013,55 Cnc,d,55 cnc d,Radial Velocity,0,5,4825,39,-39,0,5.503,0.03,-0.03,0,0.019,0.013,-0.013,0,90,,,0,3.878,0.068,-0.068,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,29-10-2014,Lick Observatory
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009,55 Cnc,e,55 cnc e,Radial Velocity,0,5,0.736539,0.000007,-0.000007,0,0.01544,0.00009,-0.00009,0,,,,,83.3,0.9,-0.8,0,0.02542,0.00098,-0.00098,0,Mass,0.17,0.007,-0.007,0,6.4,0.8,-0.7,0,0,0,0,2,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,31-01-2019,McDonald Observatory
BD+20 2457 c,5450,12.47 Jupiters,9.75,2009
BD+20 274 b,4514,4.2 Jupiters,9.36,2012,55 Cnc,f,55 cnc f,Radial Velocity,0,5,262,0.51,-0.51,0,0.788,0.001,-0.001,0,0.305,0.075,-0.075,0,90,,,0,0.141,0.012,-0.012,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,29-10-2014,Multiple Observatories
BD+20 594 b,588,22.2481 Earths,11.038,2016
BD+48 738 b,2910,0.91 Jupiters,9.14,2011,6 Lyn,b,6 lyn b,Radial Velocity,0,1,934.3,8.6,-8.6,0,2.11,0.11,-0.11,0,0.073,0.036,-0.036,0,,,,,2.01,0.077,-0.077,0,Msini,,,,,,,,,0,0,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,54.74,0.27,-0.27,0,54.74,0.27,-0.27,0,5.86,,0,V (Johnson),5.588,,0,4938,,,0,1.44,,,0,5.2,,,0,06-12-2018,Okayama Astrophysical Observatory
BD+48 740 b,2215,1.7 Jupiters,8.699,2018
BD+49 828 b,1460,1.6 Jupiters,9.38,2015,61 Vir,b,61 vir b,Radial Velocity,0,3,4.215,0.0006,-0.0006,0,0.050201,0.000005,-0.000005,0,0.12,0.11,-0.11,0,,,,,0.016,0.002,-0.002,0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,8.51,0.02,-0.02,0,4.74,,0,V (Johnson),4.477,,0,5577,33,-33,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,14-05-2014,Multiple Observatories
Beta Cancri b,295,7.8 Jupiters,3.53,2014
Beta Pictoris b,64,11 Jupiters,3.85,2008,61 Vir,c,61 vir c,Radial Velocity,0,3,38.021,0.034,-0.034,0,0.2175,0.0001,-0.0001,0,0.14,0.06,-0.06,0,,,,,0.057,0.003,-0.003,0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,8.51,0.02,-0.02,0,4.74,,0,V (Johnson),4.477,,0,5577,33,-33,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,14-05-2014,Multiple Observatories
Beta Pictoris c,64,9 Jupiters,3.85,2019
Beta Ursae Minoris b,127,6.1 Jupiters,2.08,2014,61 Vir,d,61 vir d,Radial Velocity,0,3,123.01,0.55,-0.55,0,0.476,0.001,-0.001,0,0.35,0.09,-0.09,0,,,,,0.072,0.008,-0.008,0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,8.51,0.02,-0.02,0,4.74,,0,V (Johnson),4.477,,0,5577,33,-33,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,14-05-2014,Multiple Observatories
CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
CHXR 73 b,623,12.569 Jupiters,17.293,2006,7 CMa,b,7 cma b,Radial Velocity,0,2,735.1,14.8,-1,0,1.758,0.024,-0.001,0,0.06,0.03,-0.03,0,90,,,0,1.85,0.06,-0.06,0,Msin(i)/sin(i),,,,,,,,,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.82,0.16,-0.16,0,19.82,0.16,-0.16,0,3.92,,0,V (Johnson),3.578,,0,4826,45,-55,0,1.34,0.11,-0.12,0,4.87,0.17,-0.14,0,24-10-2019,Anglo-Australian Telescope
CI Tauri b,515,11.6 Jupiters,12.939,2019
CoRoT-10 b,1125,2.75 Jupiters,15.22,2010,7 CMa,c,7 cma c,Radial Velocity,0,2,996,1.5,-52.4,0,2.153,0.003,-0.08,0,0.08,0.05,-0.04,0,90,,,0,0.87,0.06,-0.06,0,Msin(i)/sin(i),,,,,,,,,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.82,0.16,-0.16,0,19.82,0.16,-0.16,0,3.92,,0,V (Johnson),3.578,,0,4826,45,-55,0,1.34,0.11,-0.12,0,4.87,0.17,-0.14,0,24-10-2019,Multiple Observatories
CoRoT-11 b,1827,2.33 Jupiters,12.939,2010
CoRoT-12 b,3751,0.917 Jupiters,15.515,2010,70 Vir,b,70 vir b,Radial Velocity,0,1,116.688,0.0054,-0.0054,0,0.481,0.022,-0.022,0,0.3988,0.0019,-0.0019,0,,,,,7.416,0.057,-0.057,0,Msini,,,,,,,,,0,0,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,17.91,0.06,-0.06,0,17.91,0.06,-0.06,0,4.97,,0,V (Johnson),4.709,,0,5495,,,0,1.09,,,0,1.89,,,0,06-12-2018,Lick Observatory
CoRoT-13 b,3458,1.308 Jupiters,15.039,2010
CoRoT-14 b,4371,7.6 Jupiters,16.033,2010,75 Cet,b,75 cet b,Radial Velocity,0,1,691.9,3.6,-3.6,0,2.1,,,0,0.117,0.048,-0.048,0,,,,,3,,,0,Msini,,,,,,,,,0,0,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,83.15,0.72,-0.72,0,83.15,0.72,-0.72,0,5.35,,0,V (Johnson),5.055,,0,4846,18,-18,0,2.49,0.02,-0.27,0,10.5,1,-1,0,03-09-2015,Okayama Astrophysical Observatory
CoRoT-16 b,2740,0.535 Jupiters,15.63,2011
CoRoT-17 b,3001,2.43 Jupiters,15.46,2011,8 UMi,b,8 umi b,Radial Velocity,0,1,93.4,4.5,-4.5,0,0.49,0.02,-0.02,0,0.06,0.09,-0.09,0,,,,,1.31,0.16,-0.16,0,Msini,,,,,,,,,0,0,0,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,163.32,0.65,-0.65,0,163.32,0.65,-0.65,0,6.83,,0,V (Johnson),6.559,,0,4847,7,-7,0,1.44,0.19,-0.19,0,10.3,0.57,-0.57,0,06-09-2018,Bohyunsan Optical Astronomical Observatory
CoRoT-18 b,2838,3.47 Jupiters,15,2011
CoRoT-19 b,2512,1.11 Jupiters,14.007,2011,81 Cet,b,81 cet b,Radial Velocity,0,1,952.7,8.8,-8.8,0,2.5,,,0,0.206,0.029,-0.029,0,,,,,5.3,,,0,Msini,,,,,,,,,0,0,0,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,101.53,1.22,-1.22,0,101.53,1.22,-1.22,0,5.65,,0,V (Johnson),5.349,,0,4785,25,-25,0,2.4,0.1,-0.4,0,11,2,-1,0,14-05-2014,Okayama Astrophysical Observatory
CoRoT-1 b,2627,1.03 Jupiters,13.6,2008
